name,ssn,role,rank,licence,address,phonenumber,gsm,e-mail
William Carillo,3009907461,Pilot,Captain,NAFokkerF100,Fellsmúli 1,8998801,,,
Virginia Ho,2910858778,Pilot,Captain,NABAE146,Fellsmúli 2,8998802,,,
Gerard Nelson,2706838569,Pilot,Captain,NAFokkerF100,Fellsmúli 3,8998803,,,
Allen Ley,2209955782,Pilot,Captain,NABAE146,Fellsmúli 4,8998804,,,
Felecia Moye,2907675667,Pilot,Captain,NABAE146,Fellsmúli 5,8998805,,,
Tyler Anderson,1309797899,Pilot,Captain,NAFokkerF28,Fellsmúli 6,8998806,,,
Nan Gage,2410876598,Pilot,Copilot,NAFokkerF100,Fellsmúli 7,8998807,,,
Charla Johnson,2211658134,Pilot,Copilot,NABAE146,Fellsmúli 8,8998808,,,
Sam Preciado,2504939263,Pilot,Copilot,NABAE146,Fellsmúli 9,8998809,,,
Jasmine Hagadone,1900769521,Pilot,Copilot,NABAE146,Fellsmúli 10,8998810,,,
Anna Phillips,2500812671,Pilot,Copilot,NAFokkerF28,Fellsmúli 11,8998811,,,
Patricia Bates,1309927223,Pilot,Copilot,NAFokkerF28,Fellsmúli 12,8998812,,,
Sherry Walker,1600904199,Cabincrew,Flight Service Manager,N/A,Fellsmúli 13,8998813,,,
Margarita Fischer,303758167,Cabincrew,Flight Service Manager,N/A,Fellsmúli 14,8998814,,,
Judith Aleshire,2200763823,Cabincrew,Flight Service Manager,N/A,Fellsmúli 15,8998815,,,
Jacob Blecha,1308941169,Cabincrew,Flight Service Manager,N/A,Fellsmúli 16,8998816,,,
Lula Stefani,1405853585,Cabincrew,Flight Service Manager,N/A,Fellsmúli 17,8998817,,,
Richard Sanders,909862878,Cabincrew,Flight Service Manager,N/A,Fellsmúli 18,8998818,,,
John Kline,1811931544,Cabincrew,Flight Service Manager,N/A,Fellsmúli 19,8998819,,,
Evelyn Pickhardt,409858797,Cabincrew,Flight Service Manager,N/A,Fellsmúli 20,8998820,,,
Stacey Henrickson,3002688722,Cabincrew,Flight Attendant,N/A,Fellsmúli 21,8998821,,,
Delores Whitfield,3003962187,Cabincrew,Flight Attendant,N/A,Fellsmúli 22,8998822,,,
Maribel Lucero,1311772221,Cabincrew,Flight Attendant,N/A,Fellsmúli 23,8998823,,,
Katherine Wernimont,2509913418,Cabincrew,Flight Attendant,N/A,Fellsmúli 24,8998824,,,
Wilma Horne,1103647756,Cabincrew,Flight Attendant,N/A,Fellsmúli 25,8998825,,,
Bernard Carr,2807755841,Cabincrew,Flight Attendant,N/A,Fellsmúli 26,8998826,,,
Sara Davis,409907212,Cabincrew,Flight Attendant,N/A,Fellsmúli 27,8998827,,,
Robert Swope,1103912131,Cabincrew,Flight Attendant,N/A,Fellsmúli 28,8998828,,,
John Iversen,2801645554,Cabincrew,Flight Attendant,N/A,Fellsmúli 29,8998829,,,
Rhonda Forman,1501681497,Cabincrew,Flight Attendant,N/A,Fellsmúli 30,8998830,,,
Melissa Paquette,1811813379,Cabincrew,Flight Attendant,N/A,Fellsmúli 31,8998831,,,
Carlton Chan,505942924,Cabincrew,Flight Attendant,N/A,Fellsmúli 32,8998832,,,
Arthur Karr,1110732819,Cabincrew,Flight Attendant,N/A,Fellsmúli 33,8998833,,,
Teresa Thruman,2602806942,Cabincrew,Flight Attendant,N/A,Fellsmúli 34,8998834,,,
Elizabeth Mcfadden,1107951952,Cabincrew,Flight Attendant,N/A,Fellsmúli 35,8998835,,,
,,,,fg120,hlidaberg 2,,,,
